SIZE,COMPRESSED,RATIO,TIME
2325,1124,0.48344086021505,0.023062944412231
2330,1160,0.49785407725322,0.021654844284058
2335,1126,0.48222698072805,0.016980886459351
2340,1141,0.48760683760684,0.015196084976196
2345,1139,0.48571428571429,0.01535701751709
2350,1160,0.4936170212766,0.017719984054565
2400,1168,0.48666666666667,0.016772031784058
2355,1127,0.47855626326964,0.015123128890991
2360,1127,0.47754237288136,0.014619112014771
235,240,1.0212765957447,0.014838933944702
2370,2162,0.91223628691983,0.014365911483765
2375,1150,0.48421052631579,0.014132976531982
2380,1155,0.48529411764706,0.014953136444092
2385,1040,0.43605870020964,0.016085863113403
2390,1158,0.48451882845188,0.014127969741821
2395,1165,0.48643006263048,0.014914035797119
2400,1130,0.47083333333333,0.015598058700562
2450,1146,0.46775510204082,0.015926122665405
2405,1164,0.48399168399168,0.016284942626953
2410,1148,0.47634854771784,0.017354965209961
1855,945,0.50943396226415,0.016977071762085
2420,1127,0.46570247933884,0.014885902404785
2360,1127,0.47754237288136,0.015202045440674
1125,715,0.63555555555556,0.016940116882324
2435,1172,0.48131416837782,0.015007972717285
2440,1173,0.48073770491803,0.014477968215942
1150,705,0.61304347826087,0.015011072158813
2450,1178,0.48081632653061,0.014245986938477
2500,1200,0.48,0.014124155044556
2455,1184,0.48228105906314,0.0153489112854
760,525,0.69078947368421,0.014345169067383
2465,1190,0.48275862068966,0.014485836029053
400,325,0.8125,0.014666080474854
2475,1150,0.46464646464646,0.014773845672607
2480,1185,0.47782258064516,0.014243841171265
2485,1197,0.48169014084507,0.014685869216919
2490,1203,0.48313253012048,0.014180898666382
2495,1202,0.48176352705411,0.014419078826904
2500,1201,0.4804,0.014178037643433
2550,1234,0.48392156862745,0.014254093170166
2505,1205,0.4810379241517,0.014908075332642
2400,1169,0.48708333333333,0.014327049255371
2515,1215,0.4831013916501,0.014729022979736
2520,1209,0.4797619047619,0.014344930648804
2525,1073,0.4249504950495,0.014657974243164
2530,1221,0.48260869565217,0.014867782592773
2535,1221,0.48165680473373,0.015486001968384
2540,1229,0.48385826771654,0.014842987060547
2545,1231,0.48369351669941,0.016066789627075
1065,689,0.64694835680751,0.014875888824463
2600,1241,0.47730769230769,0.0153968334198
2555,1229,0.48101761252446,0.015313148498535
2560,1228,0.4796875,0.015061855316162
2565,1200,0.46783625730994,0.017906904220581
2570,1244,0.484046692607,0.01552414894104
2575,1239,0.48116504854369,0.017506837844849
2580,1247,0.48333333333333,0.015858888626099
2585,1232,0.47659574468085,0.016448974609375
2590,1245,0.48069498069498,0.01516318321228
2595,1231,0.47437379576108,0.016921043395996
2600,1146,0.44076923076923,0.016531944274902
2650,1266,0.4777358490566,0.017742872238159
2500,1201,0.4804,0.015331029891968
2610,1251,0.47931034482759,0.015626907348633
2615,1165,0.44550669216061,0.015737056732178
2620,1258,0.48015267175573,0.016063928604126
2385,1040,0.43605870020964,0.015944957733154
550,401,0.72909090909091,0.015954971313477
2635,1244,0.47210626185958,0.014550924301147
2640,1182,0.44772727272727,0.014580965042114
340,317,0.93235294117647,0.014151811599731
1925,1039,0.53974025974026,0.014401912689209
2700,1269,0.47,0.014212846755981
2655,1264,0.47608286252354,0.014600992202759
2660,1251,0.4703007518797,0.014571905136108
2665,1256,0.47129455909944,0.014184951782227
2670,1271,0.47602996254682,0.014173030853271
2675,1263,0.47214953271028,0.014713048934937
465,377,0.81075268817204,0.014185905456543
2685,1269,0.47262569832402,0.014250993728638
1065,689,0.64694835680751,0.014175176620483
2695,1275,0.47309833024119,0.014276027679443
2700,1276,0.47259259259259,0.014262914657593
2750,1299,0.47236363636364,0.014302015304565
2705,1279,0.4728280961183,0.014616012573242
2710,1288,0.47527675276753,0.015611171722412
2715,1275,0.46961325966851,0.014667987823486
2720,1286,0.47279411764706,0.014080047607422
2725,1160,0.4256880733945,0.015147924423218
2200,1143,0.51954545454545,0.016677141189575
2735,1291,0.47202925045704,0.015395164489746
2740,1285,0.46897810218978,0.015897989273071
2745,1297,0.47249544626594,0.013952016830444
2750,1299,0.47236363636364,0.015555858612061
2800,1325,0.47321428571429,0.014666795730591
2755,1300,0.47186932849365,0.014838933944702
2760,1308,0.47391304347826,0.014932870864868
2765,1306,0.47233273056058,0.014540910720825
575,418,0.72695652173913,0.015002965927124
2775,1312,0.47279279279279,0.013952016830444
1565,901,0.57571884984026,0.014724016189575
2785,1313,0.47145421903052,0.014420032501221
2790,1300,0.46594982078853,0.014552116394043
2795,1321,0.47262969588551,0.0155930519104
2650,1150,0.43396226415094,0.014925956726074
2850,1345,0.4719298245614,0.014314889907837
2805,1327,0.47308377896613,0.014940977096558
2810,1327,0.47224199288256,0.016385793685913
2815,1316,0.46749555950266,0.017057180404663
2820,1328,0.4709219858156,0.016637086868286
2825,1346,0.47646017699115,0.016027927398682
2830,1323,0.46749116607774,0.01636791229248
2835,1323,0.46666666666667,0.01490306854248
2840,1338,0.47112676056338,0.016379117965698
2845,1228,0.43163444639719,0.01413106918335
2850,1339,0.46982456140351,0.014096021652222
2900,1361,0.46931034482759,0.014765977859497
2500,1201,0.4804,0.015333890914917
2250,1112,0.49422222222222,0.014781951904297
2865,1337,0.46666666666667,0.014571905136108
2870,1352,0.47108013937282,0.015021085739136
2875,1356,0.47165217391304,0.014955043792725
2880,1333,0.46284722222222,0.014552116394043
2885,1360,0.47140381282496,0.014340877532959
2890,1355,0.46885813148789,0.014563083648682
2895,1362,0.47046632124352,0.014466047286987
2900,1347,0.46448275862069,0.014951944351196
